,song,artist,genre,artists(shazam),songwriters,producers
62,I Ain't Worried,OneRepublic,Pop,['OneRepublic'],['OneRepublic'],
63,Anti-Hero,Taylor Swift,Pop,['Taylor Swift'],"['Taylor Swift', 'Jack Antonoff']",
64,Lover,Taylor Swift,Pop,"['Taylor Swift', 'Jack Antonoff']",['Taylor Swift'],"['Taylor Swift', 'John Rooney', 'Jack Antonoff', 'Laura Sisk', 'Serban Ghenea', 'John Hanes']"
65,Take On Me,a-ha,Pop,"['Magne Furuholmen', 'Morten Harket', 'Pal Waaktaar']","['Morten Harket', 'Magne Furuholmen', 'Paul Waaktaar-Savoy']","['a-ha', 'Bobby Hata', 'John Ratcliff', 'Alan Tarney', 'Barry Grint', 'Bill Inglot', 'Dan Hersch', 'Dave Schultz']"
66,Si Antes Te Hubiera Conocido,KAROL G,Latino,['KAROL G'],['KAROL G'],
67,Bling-Bang-Bang-Born,KAROL G,Latino,,['R Shitei'],
68,Yellow,KAROL G,Latino,,"['Guy Berryman', 'Jonny Buckland', 'Will Champion', 'Chris Martin']",
69,Fast Car,Luke Combs,Dance,"['Luke Combs', 'telemitry']",[''],
70,Summertime Sadness,Lana Del Rey & Cedric Gervais,Dance,"['Lana Del Rey', 'Cedric Gervais', 'Rick Nowels', 'Emile Haynie', 'Dan Heath', 'Patrick Warren', 'Devrim Karaoglu']","['Rick Nowels', 'Lana Del Rey']","['Cedric Gervais', 'Rick Nowels', 'Emile Haynie', 'Duncan Fuller', 'Carlos Cid', 'Ricardo Gutierrez']"
71,Prada,casso & RAYE,Dance,"['Alok', 'casso', 'RAYE']",[''],
72,Houdini,Eminem,Hip-Hop/Rap,['Eminem'],"['Tobias Jesso Jr.', 'Danny L Harle', 'Dua Lipa', 'Caroline Ailin', 'Kevin Parker']",
73,Believer,Imagine Dragons,Alternative,"['Dan Reynolds', 'Ben McKee', 'Daniel Platzman', 'Wayne Sermon']","['Daniel Coulter Reynolds', 'Benjamin McKee', 'Daniel Platzman', 'Justin Tranter', 'Wayne Sermon', 'Mattias Larsson', 'Fredriksson Robin Lennart']","['Mattman & Robin', 'John Hanes', 'Serban Ghenea', 'Tom Coyne']"
74,Die With A Smile,Lady Gaga & Bruno Mars,Pop,"['Lady Gaga', 'Bruno Mars']","['Lady Gaga', 'Bruno Mars', 'James Fauntleroy', 'Andrew Watt', 'Dernst DMile Emile II']",
